_id,COD. INSCRIPCIÓN,NOMBRE,MODALIDAD,CATEGORIA,DIRECCIÓN,LOCALIDAD,MUNICIPIO,ZONA,PLAZAS,FECHA DE INSCRIPCION
150,UH000023            ,Gran Hotel La Perla,Hotel,5 Estrellas,del Castillo 1 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,87,2007-08-13T00:00:00
151,UHSR0831            ,Haizea,Hostal,HsRural,Burguete 2 ,AURIZBERRI/ESPINAL,ERRO                                                                                                ,Pirineos,24,2008-05-30T00:00:00
152,UHR00917            ,Heredad Beragu,Hotel rural,2 Estrellas,El Abrigo 12 ,GALLIPIENZO,GALLIPIENZO                                                                                         ,Zona Media,18,2016-07-27T00:00:00
153,UPE00413            ,Hernani,Pensión,P*,De la Ribera 52 ,ARGUEDAS,ARGUEDAS                                                                                            ,La Ribera,10,1973-01-23T00:00:00
154,UPE00581            ,Hiru-Iturri,Pensión,P*,Buru 7 ,LEKAROZ,BAZTAN                                                                                              ,Pirineos,6,1986-09-10T00:00:00
155,UH000886            ,Hola Tafalla,Hotel,4 Estrellas,Javier Osés 4 ,TAFALLA,TAFALLA                                                                                             ,Zona Media,114,2012-06-26T00:00:00
156,UPE00963            ,Horno de la Higuera,Pensión,P**,Horno de la Higuera 3 ,TUDELA,TUDELA                                                                                              ,La Ribera,16,2021-06-29T00:00:00
157,UPE00871            ,Hospedaje Ntra. Sra. de Ujué,Pensión,P*,Nuestra Señora de Ujué 18 ,TAFALLA,TAFALLA                                                                                             ,Zona Media,21,2011-03-24T00:00:00
158,UH000874            ,Hospedería Chapitel,Hotel,4 Estrellas,Chapitel 1 ,ESTELLA-LIZARRA,ESTELLA <> LIZARRA                                                                                  ,Zona Media,27,2011-06-21T00:00:00
159,UHSR0803            ,Hospedería de Alesves,Hostal,HsRural,Bajo el Arco  34 ,VILLAFRANCA,VILLAFRANCA                                                                                         ,La Ribera,21,2006-11-20T00:00:00
160,UH000578            ,Hospedería de Leyre,Hotel,2 Estrellas,Mº S. Salvador de Leyre 0 ,YESA,YESA                                                                                                ,Zona Media,59,1986-03-20T00:00:00
161,UHR00807            ,Hospedería de Santa Fe,Hotel rural,1 Estrella,Santa Fe 2 ,SANTA FE,URRAÚL ALTO                                                                                         ,Pirineos,10,2007-03-23T00:00:00
162,UHSR0668            ,Hospedería Nª Sª de Codés,Hostal,HsRural,Santuario Nª Sª de Codés 0 ,TORRALBA DEL RÍO,TORRALBA DEL RÍO                                                                                    ,Zona Media,17,1996-09-30T00:00:00
163,UHSR0680            ,Hostería de Zubiri,Hostal,HsRural,Roncesvalles 6 ,ZUBIRI,ESTERIBAR                                                                                           ,Pirineos,20,1997-05-21T00:00:00
164,UHSR0782            ,Huartearena,Hostal,HsRural,San Martín 26 ,IZA,IZA                                                                                                 ,Cuenca de Pamplona,10,2005-05-19T00:00:00
165,UPE00949            ,Ibai Ega,Pensión,P*,Donantes de Sangre 3 3º izda,ESTELLA-LIZARRA,ESTELLA <> LIZARRA                                                                                  ,Zona Media,6,2019-11-09T00:00:00
166,UHR00791            ,Ibaiondo,Hotel rural,3 Estrellas,"Irún, Km. 11 0 ",OLAVE,OLAIBAR                                                                                             ,Cuenca de Pamplona,0,2005-07-12T00:00:00
167,UHS00069            ,Ibaisek,Hostal,HsG,San Antón 55 ,ZUDAIRE,AMÉSCOA BAJA                                                                                        ,Pirineos,45,1980-08-02T00:00:00
168,UHS00888            ,Ibesi,Hostal,HsG,Aramburu 21 ,LEZÁUN,LEZÁUN                                                                                              ,Zona Media,6,2012-07-16T00:00:00
169,UH000788            ,Ibis StylesPamplona Noain,Hotel,3 Estrellas,Real 0 S/N,NOÁIN,NOÁIN (VALLE DE ELORZ <> /NOAIN (ELORTZIBAR)                                                        ,Cuenca de Pamplona,102,2005-10-19T00:00:00
170,UHSR0859            ,Ioar,Hostal,HsRural,Oriente 12 ,SORLADA,SORLADA                                                                                             ,Zona Media,14,2010-03-18T00:00:00
171,UHSR0839            ,Irantzu,Hostal,HsRural,Nueva 8 ,ARANDIGOYEN,YERRI                                                                                               ,Zona Media,14,2008-08-28T00:00:00
172,UHR00765            ,Irati,Hotel rural,2 Estrellas,Ezcaroz 4 ,JAURRIETA,JAURRIETA                                                                                           ,Pirineos,12,2003-10-30T00:00:00
173,UHS00933            ,Iratibizkar,Hostal,HsG,Ibaialde 1 ,OCHAGAVÍA,OCHAGAVÍA                                                                                           ,Pirineos,15,2018-06-06T00:00:00
174,UHSR0938            ,Iratiko Urkixokoa,Hostal,HsRural,Larraun 0 ,ORBAIZETA,ORBAITZETA                                                                                          ,Pirineos,20,2018-09-14T00:00:00
175,UHR00834            ,Iribarnia,Hotel rural,3 Estrellas,San José 8 ,LANTZ,LANTZ                                                                                               ,Pirineos,22,2008-06-30T00:00:00
176,UHSR0664            ,Irigoienea,Hostal,HsRural,Iribere 3 ,URDAZUBI/URDAX,URDAZUBI/URDAX                                                                                      ,Pirineos,20,1996-06-26T00:00:00
177,UH000741            ,Iriguibel,Hotel,3 Estrellas,Intxaurdia 4 ,HUARTE,HUARTE <> UHARTE                                                                                    ,Cuenca de Pamplona,68,2002-06-02T00:00:00
178,UH000707            ,Iru Bide,Hotel,1 Estrella,Vitoria 3 ,ALTSASU/ALSASUA,ALTSASU/ALSASUA                                                                                     ,Pirineos,13,1999-01-12T00:00:00
179,UH000407            ,Irubide,Hotel,1 Estrella,Bijues  0 S/N,LUMBIER,LUMBIER                                                                                             ,Pirineos,39,1972-12-05T00:00:00
180,UH000027            ,Iruña Palace. Tres Reyes,Hotel,4 Estrellas,de la Taconera 0 S/N,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,336,1963-03-21T00:00:00
181,UHSR0804            ,Iruso,Hostal,HsRural,Erreka 14 ,LEITZA,LEITZA                                                                                              ,Pirineos,8,2006-11-20T00:00:00
182,UHA00820            ,Isaba,Hotel-apartamento,3 Estrellas,Bormapea 11 ,ISABA,ISABA <> IZABA                                                                                      ,Pirineos,61,2008-01-28T00:00:00
183,UPE00954            ,Itaka,Pensión,P**,LAPIZTEGUIA 50 Casa Itaka,ZUGARRAMURDI,ZUGARRAMURDI                                                                                        ,Pirineos,2,2020-07-28T00:00:00
184,UHS00714            ,Itxasoenea,Hostal,HsG,Las Eras 3 ,AOIZ,AOIZ <> AGOITZ                                                                                      ,Pirineos,18,2000-12-20T00:00:00
185,UHSR0770            ,Itzalargikoborda,Hostal,HsRural,de Berro 0 S/N,ELIZONDO,BAZTAN                                                                                              ,Pirineos,6,2004-02-23T00:00:00
186,UHS00735            ,Izaga,Hostal,HsG,Noain-Esquiroz. Calle O 7 ,NOÁIN,NOÁIN (VALLE DE ELORZ <> /NOAIN (ELORTZIBAR)                                                        ,Cuenca de Pamplona,122,2001-03-10T00:00:00
187,UHSR0498            ,Izar-Ondo,Hostal,HsRural,"Iruñeko Etorbidea, s/n 0 ",ARBIZU,ARBIZU                                                                                              ,Pirineos,34,1978-04-19T00:00:00
188,UPE00561            ,Izarra,Pensión,P*,Calderería 20 ,ESTELLA-LIZARRA,ESTELLA <> LIZARRA                                                                                  ,Zona Media,8,1983-04-08T00:00:00
189,UHS00806            ,Izelai,Hostal,HsG,Pamplona 20 ,ALTSASU/ALSASUA,ALTSASU/ALSASUA                                                                                     ,Pirineos,50,2007-03-14T00:00:00
190,UHS00734            ,J.P.,Hostal,HsG,Padre Raimundo Lumbier 3 ,SANGÜESA,SANGÜESA <> ZANGOZA                                                                                 ,Zona Media,13,2001-03-10T00:00:00
191,UHS00870            ,Jai Alai,Hostal,HsG,II-Landa 18 L1,LEITZA,LEITZA                                                                                              ,Pirineos,31,2011-08-02T00:00:00
192,UH000616            ,Jakue,Hotel,3 Estrellas,Irunbidea 34 ,PUENTE LA REINA,PUENTE LA REINA <> GARES                                                                            ,Zona Media,45,1990-12-22T00:00:00
193,UHR00109            ,Juan Simón,Hotel rural,1 Estrella,La Asunción(Bº Ventas de Arrai 11 ,ARRAITZ-ORKIN,ULTZAMA                                                                                             ,Pirineos,14,1945-03-31T00:00:00
194,UPE00301            ,Juandeaburre,Pensión,P**,San Nicolás 28 ,AURITZ/BURGUETE,AURITZ/BURGUETE                                                                                     ,Pirineos,6,1970-01-01T00:00:00
195,UHR00810            ,Kuko,Hotel rural,2 Estrellas,Larrapil 6 ,ORONOZ-MUGAIRI,BAZTAN                                                                                              ,Pirineos,10,2007-05-25T00:00:00
196,UHR00816            ,La Antigua Azucarera,Hotel rural,2 Estrellas,de la Azucarera 2 ,MARCILLA,MARCILLA                                                                                            ,La Ribera,8,2007-12-21T00:00:00
197,UPE00951            ,La Atalaya,Pensión,P**,Rua San Francisco 9 ,OLITE,OLITE                                                                                               ,Zona Media,19,2020-05-02T00:00:00
198,UPE00662            ,La Basque,Pensión,P**,Irañeta 1 ,ETXALAR,ETXALAR                                                                                             ,Pirineos,11,1996-12-06T00:00:00
199,UHS00762            ,La Casa de mi Abuela,Hostal,HsG,Primicia 35 ,CINTRUÉNIGO,CINTRUÉNIGO                                                                                         ,La Ribera,10,2003-01-09T00:00:00
200,UPE00937            ,La Casa del Hilario,Pensión,P*,Dos de agosto 1 ,MILAGRO,MILAGRO                                                                                             ,La Ribera,12,2018-03-09T00:00:00
201,UH000790            ,La Joyosa Guarda,Hotel,4 Estrellas,Rua de Medios 23 ,OLITE,OLITE                                                                                               ,Zona Media,48,2005-07-12T00:00:00
202,UHS00403            ,La Parrilla,Hostal,HsG,Carlos III el Noble 6 ,TUDELA,TUDELA                                                                                              ,La Ribera,40,1970-12-15T00:00:00
203,UHSR0890            ,La Pata de la Oca,Hostal,HsRural,Mayor 5 ,TORRES DEL RÍO,TORRES DEL RÍO                                                                                      ,Zona Media,11,2012-01-10T00:00:00
204,UHSR0903            ,La Plaza,Hostal,HsRural,Don Rodrigo 39 ,PUENTE LA REINA,PUENTE LA REINA <> GARES                                                                            ,Zona Media,16,2014-05-30T00:00:00
205,UHSR0576            ,La Posada,Hostal,HsRural,"Única, s/n 0 ",ORREAGA/RONCESVALLES,ORREAGA/RONCESVALLES                                                                                ,Pirineos,53,1985-07-30T00:00:00
206,UPE00889            ,La Posada de San Marcial,Pensión,P*,San Marcial 13 ,TUDELA,TUDELA                                                                                              ,La Ribera,8,2012-03-09T00:00:00
207,UPE00694            ,La Residencia,Pensión,P*,Bergamín 45 4º Dcha,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,12,1998-01-07T00:00:00
208,UPE00721            ,La Residencia 2,Pensión,P*,Roncesvalles 2 5º Dcha,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,12,2000-03-28T00:00:00
209,upe00740            ,La Residencia 3,Pensión,P*,"Iturralde y Suit, 1 1º centro 0 ",PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,9,2001-12-26T00:00:00
210,UHS00953            ,La Rúa,Hostal,HsG,La Rua 21 ,ESTELLA-LIZARRA,ESTELLA <> LIZARRA                                                                                  ,Zona Media,9,2020-06-29T00:00:00
211,UPE00956            ,Labaiengo Ostatua,Pensión,P*,Karrikaburu 8 Labaiengo Ostatua,BEINTZA-LABAIEN,LABAIEN                                                                                             ,Pirineos,10,2020-08-27T00:00:00
212,UH000930            ,Landaben,Hotel,2 Estrellas,"Landaben, c/ L 0 s/n",PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,25,2018-08-01T00:00:00
213,UHS00961            ,Larrión,Hostal,HsG,Urbasa 16 ,LARRIÓN,ALLÍN                                                                                               ,Zona Media,12,2021-03-17T00:00:00
214,UPE00947            ,Las Hojas,Pensión,P*,Pamplona 2 3º B,TUDELA,TUDELA                                                                                              ,La Ribera,9,2019-04-06T00:00:00
215,UHS00447            ,Latorre,Hostal,HsG,Pamplona-Huesca km. 40 0 ,LIÉDENA,LIÉDENA                                                                                             ,Zona Media,96,1975-12-05T00:00:00
216,UHR00894            ,Latorrien de Ane,Hotel rural,3 Estrellas,Mayor 128 ,MUÉS,MUES                                                                                                ,Zona Media,18,2013-04-03T00:00:00
217,UHR00894            ,Latorrien de Ane,Hotel rural,3 Estrellas,Mayor 128 ,MUÉS,MUES                                                                                                ,Zona Media,18,2013-04-03T00:00:00
218,UHS00774            ,Latxanea,Hostal,HsG,Iortia 5 ,ALTSASU/ALSASUA,ALTSASU/ALSASUA                                                                                     ,Pirineos,8,2004-07-26T00:00:00
219,UHS00935            ,Legaz,Hostal,HsG,La Roza 1 ,FUNES,FUNES                                                                                               ,La Ribera,25,2018-06-12T00:00:00
220,UH000918            ,Lemik,Hotel,2 Estrellas,de los Fueros 12 ,ALTSASU/ALSASUA,ALTSASU/ALSASUA                                                                                     ,Pirineos,13,2017-11-02T00:00:00
221,UH000360            ,Leyre,Hotel,3 Estrellas,Leyre 7 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,101,1969-09-13T00:00:00
222,upe00693            ,Leyre,Pensión,P**,Fco. Bergamín 5 2º y 3º,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,12,1998-01-07T00:00:00
223,UHS00900            ,Leyre,Hostal,HsG,"Industrial, C/ D 2 ",AZAGRA,AZAGRA                                                                                              ,La Ribera,16,2014-03-31T00:00:00
224,UHS00761            ,Lizuniaga,Hostal,HsG,Garaitarreta Auzoa 26 ,BERA,BERA/VERA DE BIDASOA                                                                                ,Pirineos,8,2003-10-09T00:00:00
225,UHR00007            ,Loizu,Hotel rural,3 Estrellas,San Nicolás 13 ,AURITZ/BURGUETE,AURITZ/BURGUETE                                                                                     ,Pirineos,56,1969-09-13T00:00:00
226,UHSR0089            ,Lola,Hostal,HsRural,Mendigatxa 17 ,ISABA,ISABA <> IZABA                                                                                      ,Pirineos,40,1969-09-17T00:00:00
227,UHSR0915            ,Lopenea Landa Ostatua,Hostal,HsRural,Elbarren 47 Casa Lopenea,LEITZA,LEITZA                                                                                              ,Pirineos,24,2016-05-19T00:00:00
228,UPE00633            ,Lorea,Pensión,P**,Txikirrin 0 S/N,GARAIOA,GARAIOA                                                                                             ,Pirineos,10,1993-03-24T00:00:00
229,UHSR0643            ,Lorentxo,Hostal,HsRural,Pamplona-Irún Km 11 0 ,OLAVE,OLAIBAR                                                                                             ,Cuenca de Pamplona,20,1994-10-26T00:00:00
230,UPE00912            ,Los Arcos,Pensión,P**,La Carrera 8 A,LOS ARCOS,LOS ARCOS                                                                                           ,Zona Media,26,2015-12-05T00:00:00
231,UPE00940            ,Los Llanos,Pensión,P*,Doctor Huarte de San Juan  8 2º,ESTELLA-LIZARRA,ESTELLA <> LIZARRA                                                                                  ,Zona Media,10,2018-10-30T00:00:00
232,UHS00418            ,Machain,Hostal,HsG,Dos Hermanas 40 ,IRURTZUN,IRURTZUN                                                                                            ,Pirineos,18,1973-03-24T00:00:00
233,UH000395            ,Maher,Hotel,3 Estrellas,Ribera 19 ,CINTRUÉNIGO,CINTRUÉNIGO                                                                                         ,La Ribera,32,1971-08-07T00:00:00
234,UH000346            ,Maisonnave,Hotel,4 Estrellas,Nueva 20 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,271,1966-02-23T00:00:00
235,UPE00911            ,Maitetxu,Pensión,P*,Mayor 18 6º B,BURLADA,BURLADA <> BURLATA                                                                                  ,Cuenca de Pamplona,6,2015-07-05T00:00:00
236,UHSR0821            ,Mamerto,Hostal,HsRural,San Lorenzo 13 B,OBANOS,OBANOS                                                                                              ,Zona Media,16,2008-02-20T00:00:00
237,UPE00647            ,Mari Asun,Pensión,P*,Pio XII 32 6º Dcha,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,11,1995-06-21T00:00:00
238,UHSR0962            ,Martínez,Hostal,HsRural,Mayor 20 ,VILLAFRANCA,VILLAFRANCA                                                                                         ,La Ribera,17,2021-04-30T00:00:00
239,uhs00481            ,Marzo,Hostal,HsG,Ancha 24 ,LODOSA,LODOSA                                                                                              ,La Ribera,26,1976-07-26T00:00:00
240,UPE00836            ,Mavi,Pensión,P**,Del Medio 7 ,LOS ARCOS,LOS ARCOS                                                                                           ,Zona Media,16,2008-07-17T00:00:00
241,UPE00661            ,Mayte,Pensión,P*,"Pio XII 34 2ª Esc, 1º Izda",PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,6,1996-05-22T00:00:00
242,UPE00882            ,Mendi,Pensión,P*,Navas de Tolosa 9 3º Izda,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,8,2012-01-03T00:00:00
243,UHSR0942            ,Mendilatz II,Hostal,HsRural,Pantano Irabia 0 Km 4,ORBAIZETA,ORBAITZETA                                                                                          ,Pirineos,20,2019-01-15T00:00:00
244,UH000674            ,Merindad de Olite,Hotel,2 Estrellas,Rua de la Judería 11 ,OLITE,OLITE                                                                                               ,Zona Media,20,1997-01-29T00:00:00
245,UPE00717            ,Mesón del Barro II,Pensión,P**,Sancho Ramírez 3 5ºA,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,8,2001-07-03T00:00:00
246,UHS00742            ,Mesón del Barro III,Hostal,HsG,Sancho Ramirez 13 5º C,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,7,2002-03-13T00:00:00
247,UHS00385            ,Mónaco,Hostal,HsG,Del Coso 1 ,LOS ARCOS,LOS ARCOS                                                                                           ,Zona Media,13,1969-08-14T00:00:00
248,UHS00669            ,Musunzar,Hostal,HsRural,Elbarren 14 ,LEITZA,LEITZA                                                                                              ,Pirineos,21,1996-10-30T00:00:00
249,UHS00045            ,Navarra,Hostal,HsG,Tudela 9 2ª,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,25,1964-03-07T00:00:00
250,UH000603            ,NH Iruña Park,Hotel,4 Estrellas,Arcadio Larraona 1 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,420,1989-11-22T00:00:00
251,UHR00796            ,Nobles de Navarra,Hotel rural,3 Estrellas,Cuesta Zapata 5 ,AIBAR,AIBAR <> OIBAR                                                                                      ,Zona Media,22,2006-06-21T00:00:00
252,UPE00610            ,Obel,Pensión,P*,Las Eras 5 2º,VILLAVA,VILLAVA <> ATARRABIA                                                                                ,Cuenca de Pamplona,11,1990-02-28T00:00:00
253,UHS00548            ,Ochoa,Hostal,HsG,Delicias 1 ,SAN ADRIÁN,SAN ADRIÁN                                                                                          ,La Ribera,28,1982-04-06T00:00:00
254,UPE00657            ,Olga,Pensión,P*,"Pio XII 34 Esc 1ª, 2 D",PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,6,1996-06-03T00:00:00
255,UHSR0725            ,Onbordi,Hostal,HsRural,Frain 52 ,LESAKA,LESAKA                                                                                              ,Pirineos,24,2001-06-06T00:00:00
256,UHSR0784            ,Onki Xin,Hostal,HsRural,Izarjentea 25 ,ISABA,ISABA <> IZABA                                                                                      ,Pirineos,21,2005-07-27T00:00:00
257,UHSR0280            ,Orialde,Hostal,HsRural,Urrutia 6 ,OCHAGAVÍA,OCHAGAVÍA                                                                                           ,Pirineos,19,1962-10-10T00:00:00
258,UPE00926            ,Orokietako Ostatua - Posada de Orokieta,Pensión,P*,San Tiburzio 7 ,OROKIETA,BASABURUA                                                                                           ,Pirineos,5,2017-06-29T00:00:00
259,UPE00908            ,Ostadar,Pensión,P*,San Lázaro 9 ,LOS ARCOS,LOS ARCOS                                                                                           ,Zona Media,12,2015-03-23T00:00:00
260,UH000901            ,P.N. Príncipe de Viana,Hotel,3 Estrellas,De los Teobaldos 2 ,OLITE,OLITE                                                                                               ,Zona Media,85,1965-01-01T00:00:00
261,UHS00688            ,Pagocelai,Hostal,HsG,Autovia A-15 0 Km 134,GORRITI,LARRAUN                                                                                             ,Pirineos,24,1998-04-02T00:00:00
262,UH000771            ,Palacio de Pujadas,Hotel,3 Estrellas,Navarro Villoslada 30 ,VIANA,VIANA                                                                                               ,Zona Media,54,2004-05-03T00:00:00
263,UHR00904            ,Palacio de Yrisarri,Hotel rural,3 Estrellas,Irisarri 1 ,IGANTZI,IGANTZI                                                                                             ,Pirineos,34,2014-09-30T00:00:00
264,UHR00860            ,Palacio Dos Olivos,Hotel rural,3 Estrellas,Luis Balerdi 2 ,GALDEANO,ALLÍN                                                                                               ,Zona Media,26,2010-03-29T00:00:00
265,UHSR0929            ,Palacio Jaureguía,Hostal,HsRural,Mayor 19 ,IRURITA,BAZTAN                                                                                              ,Pirineos,7,2017-02-08T00:00:00
266,UHS00913            ,Pamplona,Hostal,HsG,Berrioplano 2 ,ANSOAIN,ANSOÁIN                                                                                             ,Cuenca de Pamplona,30,2015-02-10T00:00:00
267,UPE00825            ,Pamplona Beds,Pensión,P*,"Acella 3 Dcha, 5º D",PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,8,2008-04-16T00:00:00
268,UH000869            ,Pamplona Catedral Hotel,Hotel,4 Estrellas,Dos de Mayo 4 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,104,2010-10-22T00:00:00
269,UH000601            ,Pamplona El Toro,Hotel,4 Estrellas,Guipuzcoa km.5 0 ,BERRIOPLANO,BERRIOPLANO                                                                                         ,Cuenca de Pamplona,118,1989-10-25T00:00:00
270,UH000736            ,Pamplona Plaza,Hotel,3 Estrellas,Marcelo Celayeta 35 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,50,2001-12-26T00:00:00
271,UPE00710            ,Pasadena,Pensión,P*,Pio XII 32 3º D,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,19,2000-05-17T00:00:00
272,UPE00948            ,Patxikuzuria,Pensión,P*,Iturrizar 2 ,AURIZBERRI/ESPINAL,ERRO                                                                                                ,Pirineos,6,2019-07-25T00:00:00
273,UPE00666            ,Payvi II,Pensión,P*,Pio XII 24 3º B,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,10,1996-07-08T00:00:00
274,UHS00720            ,Peñalén,Hostal,HsG,"Variante Peralta Km 23,5 0 ",PERALTA,PERALTA                                                                                             ,La Ribera,46,2001-03-28T00:00:00
275,UHR00967            ,Peruskenea,Hotel rural,2 Estrellas,Peruskenea 1 ,BERUETE,BASABURUA                                                                                           ,Pirineos,19,2021-09-30T00:00:00
276,UPE00946            ,Petit Abay Mendavia,Pensión,P**,De la Estación 27 ,MENDAVIA,MENDAVIA                                                                                            ,La Ribera,10,2019-05-20T00:00:00
277,UHS00785            ,Pichorradicas,Hostal,HsG,Cortadores 11 ,TUDELA,TUDELA                                                                                              ,La Ribera,14,2005-05-08T00:00:00
278,UPE00708            ,Pinilla,Pensión,P*,Santa Vicenta 5 ,CASCANTE,CASCANTE                                                                                            ,La Ribera,13,2000-01-19T00:00:00
279,UHS00612            ,Plaza,Hostal,HsG,San José de Calasanz 3 ,BUÑUEL,BUÑUEL                                                                                              ,La Ribera,9,1990-08-08T00:00:00
280,UH000812            ,Plazaola,Hotel,3 Estrellas,Aralar 8 ,IRURTZUN,IRURTZUN                                                                                            ,Pirineos,68,2007-07-09T00:00:00
281,UPE00764            ,Posada de Egüés,Pensión,P**,"Industrial de Egüés, C/ Z 29 ",EGÜÉS,EGÜÉS                                                                                               ,Cuenca de Pamplona,38,2003-10-17T00:00:00
282,UPE00922            ,Posada el Camino,Pensión,P*,San Saturnino 46 ,LINTZOAIN,ERRO                                                                                                ,Pirineos,0,2017-06-28T00:00:00
283,UHSR0759            ,Posada Elbete,Hostal,HsRural,"Mayor, s/n (plaza) 0 ",ELBETE,BAZTAN                                                                                              ,Pirineos,13,2003-02-07T00:00:00
284,UHSR0705            ,Posada Palacio Beola,Hostal,HsRural,Mayor 13 ,ALMANDOZ,BAZTAN                                                                                              ,Pirineos,31,1999-10-14T00:00:00
285,uhsr0641            ,Posada Sarigarri,Hostal,HsRural,San Martín 6 ,ABAURREPEA/ABAURREA BAJA,ABAURREPEA/ABAURREA BAJA                                                                            ,Pirineos,17,1994-08-06T00:00:00
286,UHR00376            ,Quinto Real,Hotel rural,1 Estrella,Pamplona-Francia km. 27 0 ,EUGI,ESTERIBAR                                                                                           ,Pirineos,36,1968-06-28T00:00:00
287,UHS00022            ,Remigio,Hostal,HsG,Gaztanbide 4 ,TUDELA,TUDELA                                                                                              ,La Ribera,67,1949-09-06T00:00:00
288,UH000800            ,Ríos,Hotel,3 Estrellas,Celso Muerza 18 ,SAN ADRIÁN,SAN ADRIÁN                                                                                          ,La Ribera,46,2006-06-09T00:00:00
289,UHS00927            ,Rodas Pamplona,Hostal,HsG,Estella 10 1º dcha,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,14,2017-07-27T00:00:00
290,UHR00855            ,Roncesvalles,Hotel rural,3 Estrellas,Ntra Sra de Roncesvalles 14 ,ORREAGA/RONCESVALLES,ORREAGA/RONCESVALLES                                                                                ,Pirineos,32,2009-09-12T00:00:00
291,UPE00920            ,Room Pamplona,Pensión,P*,Acella 3 1º B,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,7,2017-02-27T00:00:00
292,UHA00881            ,Ruralsuite,Hotel-apartamento,4 Estrellas,"N 121C Tudela-Tarazona 0 Km 7,7",CASCANTE,CASCANTE                                                                                            ,La Ribera,30,2012-10-02T00:00:00
293,UHSR0446            ,Salazar,Hostal,HsRural,Mayor 2 ,ORONZ,ORONZ                                                                                               ,Pirineos,24,1975-03-22T00:00:00
294,UHSR0907            ,San Andrés,Hostal,HsRural,Jesús Ordóñez 4 ,TORRES DEL RÍO,TORRES DEL RÍO                                                                                      ,Zona Media,34,2015-02-13T00:00:00
295,upe00756            ,San Pedro,Pensión,P**,Medio de San Pedro 13 ,VIANA,VIANA                                                                                               ,Zona Media,11,2003-02-19T00:00:00
296,UH000550            ,Sancho Ramírez,Hotel,3 Estrellas,"Sancho Ramírez, 11-13 0 ",PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,153,1982-07-16T00:00:00
297,UPE00925            ,Sanfermín Dorm,Pensión,P*,"De Javier 2 Bis, 1º",PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,5,2017-07-27T00:00:00
298,uh000351            ,Santamaría,Hotel,3 Estrellas,San Marcial 14 ,TUDELA,TUDELA                                                                                              ,La Ribera,70,1966-04-08T00:00:00
299,UHSR0702            ,Santamaría,Hostal,HsRural,Mayor 28 ,DONEZTEBE/SANTESTEBAN,DONEZTEBE/SANTESTEBAN                                                                               ,Pirineos,17,1999-05-05T00:00:00
300,UHSR0867            ,Santiago Ramón y Cajal,Hostal,HsRural,Nueva 1 ,PETILLA DE ARAGÓN,PETILLA DE ARAGÓN                                                                                   ,Zona Media,8,2010-10-09T00:00:00
301,UPE00637            ,Sarasate,Pensión,P**,Sarasate 30 2º dcha,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,11,1993-01-01T00:00:00
302,UHSR0876            ,Sarbil,Hostal,HsRural,Mayor 2 ,IZCUE,OLZA                                                                                                ,Cuenca de Pamplona,30,2011-06-07T00:00:00
303,UH000775            ,Señorío de Ursua,Hotel,3 Estrellas,Casa Ikazatea 0 ,ARIZKUN,BAZTAN                                                                                              ,Pirineos,38,2004-07-26T00:00:00
